"Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)"
"1,2006,Vince Young\YounVi00,QB,36,Texas,College Stats,6-5,229,4.48,,,,,,Tennessee Titans / 1st / 3rd pick / 2006"
"2,2006,Charlie Whitehurst\WhitCh02,QB,7,Clemson,College Stats,6-5,223,4.75,33,,112,7,4.11,San Diego Chargers / 3rd / 81st pick / 2006"
"3,2006,Marcus Vick\VickMa20,QB,0,Virginia Tech,College Stats,6-0,200,4.47,36,,117,6.94,4.08,"
"4,2006,Omar Jacobs,QB,,Bowling Green,College Stats,6-4,232,4.84,32.5,,108,7.47,4.29,Pittsburgh Steelers / 5th / 164th pick / 2006"
"5,2006,Reggie McNeal\McNeRe00,QB,0,Texas A&M,College Stats,6-2,198,4.4,32,,121,6.96,4.25,Cincinnati Bengals / 6th / 193rd pick / 2006"
"6,2006,Ingle Martin\MartIn00,QB,0,Furman,,6-2,220,4.71,36,,111,7.13,4.17,Green Bay Packers / 5th / 148th pick / 2006"
"7,2006,Matt Leinart\LeinMa00,QB,12,Southern California,College Stats,6-5,223,4.9,,,,,,Arizona Cardinals / 1st / 10th pick / 2006"
"8,2006,Tarvaris Jackson\JackTa00,QB,23,Alabama State,College Stats,6-2,226,4.69,31.5,22,107,7.4,4.38,Minnesota Vikings / 2nd / 64th pick / 2006"
"9,2006,Bruce Gradkowski\GradBr00,QB,8,Toledo,College Stats,6-1,217,4.59,34,,107,7.12,4.16,Tampa Bay Buccaneers / 6th / 194th pick / 2006"
"10,2006,Jay Cutler\CutlJa00,QB,104,Vanderbilt,College Stats,6-3,226,4.77,,23,,7.1,4.26,Denver Broncos / 1st / 11th pick / 2006"
"11,2006,Brodie Croyle\CroyBr00,QB,2,Alabama,College Stats,6-2,205,4.88,30.5,,104,7.34,4.25,Kansas City Chiefs / 3rd / 85th pick / 2006"
"12,2006,Kellen Clemens\ClemKe00,QB,10,Oregon,College Stats,6-2,224,4.89,,,,,,New York Jets / 2nd / 49th pick / 2006"
"13,2006,Brett Basanez\BasaBr00,QB,0,Northwestern,College Stats,6-1,220,4.76,34,,114,6.75,4.22,"
"14,2006,D.J. Shockley,QB,,Georgia,College Stats,6-1,214,4.56,37.5,,121,7.07,4.17,Atlanta Falcons / 7th / 223rd pick / 2006"
"15,2006,Kent Smith,QB,,Central Michigan,College Stats,6-5,216,4.57,35,,122,7.41,4.47,"
"16,2006,Bruce Eugene,QB,,Grambling State,,6-0,260,5.12,27.5,,94,7.97,4.76,"
"17,2006,Darrell Hackney,QB,,Alabama-Birmingham,College Stats,6-0,239,4.82,33,,110,7.62,4.69,"
"18,2006,Travis Lulay,QB,,Montana State,,6-2,216,4.71,35,,111,6.93,4.07,"
"19,2006,Erik Meyer,QB,,Eastern Washington,,6-1,210,4.67,32.5,,112,6.83,4.12,"
"20,2006,Barrick Nealy,QB,,Texas State,,6-4,226,4.57,32.5,,114,6.94,4.26,"
"21,2006,Drew Olson,QB,,UCLA,College Stats,6-2,222,5.09,23,,97,,4.42,"
"22,2006,Paul Pinegar,QB,,Fresno State,College Stats,6-5,232,5.1,29,,110,7.36,4.49,"
"23,2006,Quinton Porter,QB,,Boston College,College Stats,6-5,233,4.67,33.5,,116,6.76,4.1,"
"24,2005,Andrew Walter\WaltAn00,QB,1,Arizona State,College Stats,6-6,233,4.86,,,,,,Oakland Raiders / 3rd / 69th pick / 2005"
"25,2005,Alex Smith\SmitAl03,QB,95,Utah,College Stats,6-4,217,4.71,32,,113,6.82,3.96,San Francisco 49ers / 1st / 1st pick / 2005"
"26,2005,David Greene,QB,,Georgia,College Stats,6-3,226,4.78,31.5,,115,7,4.1,Seattle Seahawks / 3rd / 85th pick / 2005"
"27,2005,Aaron Rodgers\RodgAa00,QB,150,California,College Stats,6-2,223,4.71,34.5,,110,7.38,,Green Bay Packers / 1st / 24th pick / 2005"
"28,2005,Kyle Orton\OrtoKy00,QB,45,Purdue,College Stats,6-4,233,5.06,26.5,,,7.38,4.52,Chicago Bears / 4th / 106th pick / 2005"
"29,2005,Dan Orlovsky\OrloDa00,QB,7,Connecticut,College Stats,6-5,225,4.93,29.5,,107,7.33,4.39,Detroit Lions / 5th / 145th pick / 2005"
"30,2005,Adrian McPherson,QB,,Florida State,,6-3,218,4.71,34.5,22,128,6.93,4.08,New Orleans Saints / 5th / 152nd pick / 2005"
"31,2005,Charlie Frye\FryeCh00,QB,8,Akron,College Stats,6-4,225,4.79,33,,113,6.94,4.08,Cleveland Browns / 3rd / 67th pick / 2005"
"32,2005,Ryan Fitzpatrick\FitzRy00,QB,76,Harvard,,6-2,232,4.86,30.5,,105,7.09,4.07,St. Louis Rams / 7th / 250th pick / 2005"
"33,2005,Stefan LeFors,QB,,Louisville,College Stats,6-0,208,4.56,31,,111,7.03,4.09,Carolina Panthers / 4th / 121st pick / 2005"
"34,2005,Jason Campbell\CampJa00,QB,53,Auburn,College Stats,6-5,230,4.71,,,,,,Washington Redskins / 1st / 25th pick / 2005"
"35,2005,Brock Berlin\BerlBr00,QB,0,Miami (FL),College Stats,6-1,221,4.83,29,,109,7.49,4.54,"
"36,2005,Derek Anderson\AndeDe00,QB,21,Oregon State,College Stats,6-6,242,5.03,29,,103,7.67,4.62,Baltimore Ravens / 6th / 213th pick / 2005"
"37,2005,Jason White,QB,,Oklahoma,College Stats,6-2,223,4.9,31,,108,7.28,4.19,"
"38,2005,Chris Rix,QB,,Florida State,College Stats,6-2,214,4.7,33.5,,116,7.53,4.53,"
"39,2005,Bryan Randall,QB,,Virginia Tech,College Stats,6-0,225,4.71,33,,113,6.97,4.08,"
"40,2005,Jared Allen,QB,,Florida Atlantic,College Stats,6-2,218,4.93,27.5,,106,7.29,4.39,"
"41,2005,Timmy Chang,QB,,Hawaii,College Stats,6-1,211,5.08,29,,111,7.24,4.2,"
"42,2005,Ben Dougherty,QB,,Florida A&M,,6-2,222,4.72,33,,108,7.41,4.34,"
"43,2005,Gino Guidugli,QB,,Cincinnati,College Stats,6-4,229,5,29,,103,7.41,4.52,"
"44,2005,Josh Haldi,QB,,Northern Illinois,College Stats,6-2,215,4.64,33,,113,6.89,4.07,"
"45,2005,Dustin Long,QB,,Sam Houston State,,6-2,208,4.67,30.5,,108,6.77,4.08,"
"46,2005,Craig Ochs,QB,,Montana,,6-2,218,4.87,28.5,,104,7.03,4.13,"
"47,2004,Bradlee Van Pelt\VanPBr00,QB,0,Colorado State,College Stats,6-2,231,4.98,33.5,,115,6.89,4.11,Denver Broncos / 7th / 250th pick / 2004"
"48,2004,Matt Schaub\SchaMa00,QB,79,Virginia,College Stats,6-6,243,5.04,30.5,,110,7.65,4.62,Atlanta Falcons / 3rd / 90th pick / 2004"
"49,2004,Ben Roethlisberger\RoetBe00,QB,157,Miami (OH),College Stats,6-5,241,4.75,,,,,,Pittsburgh Steelers / 1st / 11th pick / 2004"
"50,2004,Philip Rivers\RivePh00,QB,164,North Carolina State,College Stats,6-5,229,5.08,,,,,,New York Giants / 1st / 4th pick / 2004"
"51,2004,Josh Harris,QB,,Bowling Green,College Stats,6-1,238,4.78,31,,115,,,Baltimore Ravens / 6th / 187th pick / 2004"
"52,2004,Jeff Smoker,QB,,Michigan State,College Stats,6-3,223,4.95,26.5,,101,7.65,4.36,St. Louis Rams / 6th / 201st pick / 2004"
"53,2004,Cody Pickett\PickCo00,QB,1,Washington,College Stats,6-3,233,4.79,30.5,,109,7.19,4.3,San Francisco 49ers / 7th / 217th pick / 2004"
"54,2004,John Navarre\NavaJo00,QB,0,Michigan,College Stats,6-6,246,5.19,26.5,,100,7.73,4.46,Arizona Cardinals / 7th / 202nd pick / 2004"
"55,2004,Luke McCown\McCoLu00,QB,8,Louisiana Tech,College Stats,6-4,208,4.71,37.5,,125,6.74,4.21,Cleveland Browns / 4th / 106th pick / 2004"
"56,2004,Matt Mauck\MaucMa00,QB,1,LSU,College Stats,6-2,228,4.79,,,,,,Denver Broncos / 7th / 225th pick / 2004"
"57,2004,Eli Manning\MannEl00,QB,143,Mississippi,College Stats,6-5,221,4.9,,,,,,San Diego Chargers / 1st / 1st pick / 2004"
"58,2004,J.P. Losman\LosmJ.00,QB,20,Tulane,College Stats,6-2,224,4.73,33,,116,,,Buffalo Bills / 1st / 22nd pick / 2004"
"59,2004,Jared Lorenzen\LoreJa00,QB,0,Kentucky,College Stats,6-3,288,5.28,,,,,,"
"60,2004,Craig Krenzel\KrenCr00,QB,1,Ohio State,College Stats,6-3,228,4.84,28,,112,7.22,4.08,Chicago Bears / 5th / 148th pick / 2004"
"61,2004,B.J. Symons,QB,,Texas Tech,College Stats,6-0,210,4.9,,,,,,Houston Texans / 7th / 248th pick / 2004"
"62,2004,Casey Clausen,QB,,Tennessee,College Stats,6-3,223,4.95,,,,,,"
"63,2004,Jason Fife,QB,,Oregon,College Stats,6-4,226,4.83,30.5,,113,7.28,4.18,"
"64,2004,Robert Kent,QB,,Jackson State,,6-4,222,4.87,26.5,,110,7.69,4.22,"
"65,2004,Scott Rislov,QB,,San Jose State,College Stats,6-1,224,4.95,30,,119,7.44,4.34,"
"66,2004,Ell Roberson,QB,,Kansas State,College Stats,5-11,194,4.6,,,,,,"
