"Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)"
"67,2004,Rod Rutherford,QB,,Pittsburgh,College Stats,6-2,240,4.79,30.5,,110,7.66,4.41,"
"68,2003,Seneca Wallace\WallSe00,QB,16,Iowa State,College Stats,5-11,196,4.56,38,,127,6.98,4.14,Seattle Seahawks / 4th / 110th pick / 2003"
"69,2003,Chris Simms\SimmCh00,QB,8,Texas,College Stats,6-4,220,4.84,31,,103,7.38,4.21,Tampa Bay Buccaneers / 3rd / 97th pick / 2003"
"70,2003,Tony Romo\RomoTo00,QB,116,Eastern Illinois,,6-2,230,5.01,30,,105,7.11,4.2,"
"71,2003,Dave Ragone\RagoDa00,QB,1,Louisville,College Stats,6-4,249,4.99,30.5,,101,7.42,4.36,Houston Texans / 3rd / 88th pick / 2003"
"72,2003,Carson Palmer\PalmCa00,QB,137,Southern California,College Stats,6-5,232,4.65,,,,,,Cincinnati Bengals / 1st / 1st pick / 2003"
"73,2003,Byron Leftwich\LeftBy00,QB,36,Marshall,College Stats,6-5,241,4.85,,,,,,Jacksonville Jaguars / 1st / 7th pick / 2003"
"74,2003,Kliff Kingsbury\KingKl00,QB,0,Texas Tech,College Stats,6-3,213,4.77,30,,101,6.92,4.1,New England Patriots / 6th / 201st pick / 2003"
"75,2003,Rex Grossman\GrosRe00,QB,25,Florida,College Stats,6-1,217,5.06,,,,,,Chicago Bears / 1st / 22nd pick / 2003"
"76,2003,Ken Dorsey\DorsKe00,QB,1,Miami (FL),College Stats,6-5,208,4.7,,,,,,San Francisco 49ers / 7th / 241st pick / 2003"
"77,2003,Kyle Boller\BollKy00,QB,18,California,College Stats,6-3,234,4.61,35.5,,117,7.2,4.02,Baltimore Ravens / 1st / 19th pick / 2003"
"78,2003,Juston Wood,QB,,Portland State,,6-1,207,4.78,32.5,,113,7.14,4.16,"
"79,2003,Brian Saint Pierre,QB,,Boston College,,6-3,218,4.82,30,,106,,,"
"80,2003,Brad Banks,QB,,Iowa,College Stats,5-11,201,4.67,33.5,,112,,,"
"81,2003,Josh Blankenship,QB,,Tulsa,,6-2,211,5.16,28.5,,103,7.59,4.42,"
"82,2003,D. Bryant,QB,,Duke,,6-2,218,4.73,35.5,,114,7.36,4.4,"
"83,2003,Jason Gesser,QB,,Washington State,College Stats,6-1,205,4.87,,,,,,"
"84,2002,Brandon Doman,QB,,BYU,College Stats,6-2,210,4.81,32.5,,106,6.9,4.08,San Francisco 49ers / 5th / 163rd pick / 2002"
"85,2002,Patrick Ramsey\RamsPa00,QB,15,Tulane,College Stats,6-2,219,5.24,33.5,,112,7.12,4.09,Washington Redskins / 1st / 32nd pick / 2002"
"86,2002,J.T. O'Sullivan\OSulJ.00,QB,6,California-Davis,,6-2,223,4.88,29,,107,7.46,4.28,New Orleans Saints / 6th / 186th pick / 2002"
"87,2002,Josh McCown\McCoJo01,QB,36,Sam Houston State,College Stats,6-4,221,4.59,38.5,,120,6.85,3.9,Arizona Cardinals / 3rd / 81st pick / 2002"
"88,2002,Kurt Kittner\KittKu00,QB,1,Illinois,College Stats,6-2,221,4.86,27,,100,7.34,4.5,Atlanta Falcons / 5th / 158th pick / 2002"
"89,2002,Joey Harrington\HarrJo00,QB,33,Oregon,College Stats,6-4,215,4.89,32,,112,7,4.21,Detroit Lions / 1st / 3rd pick / 2002"
"90,2002,David Garrard\GarrDa00,QB,69,East Carolina,College Stats,6-2,235,4.82,33.5,,111,7.35,4.26,Jacksonville Jaguars / 4th / 108th pick / 2002"
"91,2002,Randy Fasani\FasaRa00,QB,1,Stanford,College Stats,6-3,224,4.77,31.5,,106,6.75,3.87,Carolina Panthers / 5th / 137th pick / 2002"
"92,2002,Rohan Davey\DaveRo01,QB,0,LSU,College Stats,6-2,245,4.74,,,,,,New England Patriots / 4th / 117th pick / 2002"
"93,2002,Ronald Curry\CurrRo01,QB,17,North Carolina,College Stats,6-2,220,4.59,35,,115,7.06,4.11,Oakland Raiders / 7th / 235th pick / 2002"
"94,2002,David Carr\CarrDa00,QB,48,Fresno State,College Stats,6-3,223,4.67,35,,108,7.05,4.28,Houston Texans / 1st / 1st pick / 2002"
"95,2002,Greg Zolman,QB,,Vanderbilt,College Stats,6-2,220,4.93,34,,112,7.08,4.14,"
"96,2002,Woody Dantzler,QB,,Clemson,,5-10,207,4.59,,,,,,"
"97,2002,David Neill,QB,,Nevada,College Stats,6-3,206,4.95,30,,108,7.28,4.44,"
"98,2001,Chris Weinke\WeinCh00,QB,9,Florida State,College Stats,6-4,226,5.2,,,,,,Carolina Panthers / 4th / 106th pick / 2001"
"99,2001,Michael Vick\VickMi00,QB,113,Virginia Tech,College Stats,6-0,210,4.33,,,,,,Atlanta Falcons / 1st / 1st pick / 2001"
"100,2001,Marques Tuiasosopo\TuiaMa00,QB,1,Washington,College Stats,6-1,223,4.71,35.5,,115,7.36,4.35,Oakland Raiders / 2nd / 59th pick / 2001"
"101,2001,Josh Booty,QB,,LSU,College Stats,6-2,221,4.9,29.5,,105,7.54,4.48,Seattle Seahawks / 6th / 172nd pick / 2001"
"102,2001,Sage Rosenfels\RoseSa00,QB,14,Iowa State,College Stats,6-4,228,4.74,34,,107,7.07,4.29,Washington Redskins / 4th / 109th pick / 2001"
"103,2001,Jesse Palmer\PalmJe00,QB,1,Florida,College Stats,6-2,231,4.78,35.5,,112,7.13,4.29,New York Giants / 4th / 125th pick / 2001"
"104,2001,Josh Heupel,QB,,Oklahoma,College Stats,6-2,215,4.85,37.5,,114,7.18,4.15,Miami Dolphins / 6th / 177th pick / 2001"
"105,2001,Mike McMahon\McMaMi00,QB,6,Rutgers,College Stats,6-2,207,4.57,37.5,,124,7.12,4.12,Detroit Lions / 5th / 149th pick / 2001"
"106,2001,Cleo Lemon\LemoCl00,QB,6,Arkansas State,College Stats,6-2,226,4.87,35.5,,106,7.33,4.27,"
"107,2001,Tim Hasselbeck\HassTi00,QB,1,Boston College,College Stats,6-1,211,4.83,33,,113,7.27,4.4,"
"108,2001,Quincy Carter\CartQu00,QB,18,Georgia,College Stats,6-2,225,4.58,35.5,,113,7.12,4.12,Dallas Cowboys / 2nd / 53rd pick / 2001"
"109,2001,Drew Brees\BreeDr00,QB,223,Purdue,College Stats,6-0,213,4.83,32,,105,7.09,4.21,San Diego Chargers / 2nd / 32nd pick / 2001"
"110,2001,David Rivers,QB,,Western Carolina,,6-3,223,4.73,31.5,,115,7.37,4.2,"
"111,2001,Jonathan Beasley,QB,,Kansas State,College Stats,6-0,227,4.85,29.5,,102,7.55,4.38,"
"112,2001,Justin Coleman,QB,,Nebraska-Kearney,,6-4,238,5.22,29.5,,101,7.78,4.62,"
"113,2001,Shane Griggs,QB,,Idaho State,,6-4,199,4.83,,,,,,"
"114,2001,Ortege Jenkins,QB,,Arizona,College Stats,6-1,234,4.82,34.5,,108,7.32,4.4,"
"115,2001,Romaro Miller,QB,,Mississippi,College Stats,6-0,205,4.61,35,,110,7.4,4.51,"
"116,2000,Spergon Wynn\WynnSp00,QB,2,Texas State,College Stats,6-3,229,4.91,34,,108,7.71,4.59,Cleveland Browns / 6th / 183rd pick / 2000"
"117,2000,Giovanni Carmazzi,QB,,Hofstra,,6-3,224,4.74,36.5,,119,6.94,4.23,San Francisco 49ers / 3rd / 65th pick / 2000"
"118,2000,Chris Redman\RedmCh00,QB,10,Louisville,College Stats,6-3,222,5.37,26.5,,98,7.8,4.78,Baltimore Ravens / 3rd / 75th pick / 2000"
"119,2000,Tim Rattay\RattTi00,QB,13,Louisiana Tech,College Stats,6-0,215,4.91,25.5,,100,7.34,4.21,San Francisco 49ers / 7th / 212th pick / 2000"
"120,2000,Chad Pennington\PennCh01,QB,62,Marshall,College Stats,6-3,229,4.81,33.5,,111,7.12,4.16,New York Jets / 1st / 18th pick / 2000"
"121,2000,Tee Martin\MartTe00,QB,0,Tennessee,College Stats,6-2,227,4.58,34.5,,113,,,Pittsburgh Steelers / 5th / 163rd pick / 2000"
"122,2000,Doug Johnson\JohnDo00,QB,8,Florida,College Stats,6-2,226,4.95,29.5,,96,,,"
"123,2000,Jarious Jackson\JackJa01,QB,0,Notre Dame,College Stats,6-0,226,4.68,,,109,,,Denver Broncos / 7th / 214th pick / 2000"
"124,2000,Todd Husak\HusaTo20,QB,0,Stanford,College Stats,6-3,216,5.2,27.5,,99,7.17,4.41,Washington Redskins / 6th / 202nd pick / 2000"
"125,2000,Joe Hamilton\HamiJo20,QB,0,Georgia Tech,College Stats,5-10,192,4.81,,,106,,,Tampa Bay Buccaneers / 7th / 234th pick / 2000"
"126,2000,Marc Bulger\BulgMa00,QB,64,West Virginia,College Stats,6-2,208,4.97,,,100,7.46,4.34,New Orleans Saints / 6th / 168th pick / 2000"
"127,2000,Travis Brown\BrowTr01,QB,1,Northern Arizona,,6-3,218,5.01,29,,101,7.54,4.87,"
"128,2000,Tom Brady\BradTo00,QB,236,Michigan,College Stats,6-4,211,5.28,24.5,,99,7.2,4.38,New England Patriots / 6th / 199th pick / 2000"
"129,2000,Bill Burke,QB,,Michigan State,,6-4,206,5.03,28.5,,107,7.46,4.42,"
"130,2000,Chris Chaloupka,QB,,Sam Houston State,,6-2,216,4.96,,,,,,"
"131,2000,Kevin Feterik,QB,,BYU,,5-11,207,4.92,31,,106,7.3,4.45,"
"132,2000,Tim Lester,QB,,Western Michigan,,6-0,202,5.02,27,,97,7.28,4.24,"
"133,2000,Leon Murray,QB,,Tennessee State,,6-2,207,4.75,,,,,,"
